id,siteName,siteLink,page_param,article_link,page_param_rule
38,Th??ng m?i ?i?n t?,https://zingnews.vn/thuong-mai-dien-tu.html,https://zingnews.vn/thuong-mai-dien-tu/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
39,Thông tin doanh nghi?p,https://zingnews.vn/ttdn.html,https://zingnews.vn/ttdn/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
40,Mobile,https://zingnews.vn/mobile.html,https://zingnews.vn/mobile/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
41,Game,https://zingnews.vn/esports.html,https://zingnews.vn/esports/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
42,Kh?e ??p,https://zingnews.vn/khoe-dep.html,https://zingnews.vn/khoe-dep/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
43,Dinh d??ng,https://zingnews.vn/dinh-duong.html,https://zingnews.vn/dinh-duong/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
44,M? và Bé,https://zingnews.vn/me-va-be.html,https://zingnews.vn/me-va-be/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
45,b?nh th??ng g?p,https://zingnews.vn/benh-thuong-gap.html,https://zingnews.vn/benh-thuong-gap/trang[NEXT_PAGE].html,//section/section/div/article/header/p[1]/a,
60,Chính tr?,https://www.vietnamplus.vn/chinhtri.vnp,https://www.vietnamplus.vn/chinhtri/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
61,Ôtô - Xe máy,https://www.vietnamplus.vn/otoxemay.vnp,https://www.vietnamplus.vn/otoxemay/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
62,Môi tr??ng,https://www.vietnamplus.vn/moitruong.vnp,https://www.vietnamplus.vn/moitruong/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
63,Th? Tr??ng,https://www.vietnamplus.vn/tinthitruong.vnp,https://www.vietnamplus.vn/tinthitruong/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
64,Chuy?n l?,https://www.vietnamplus.vn/chuyenla.vnp,https://www.vietnamplus.vn/chuyenla/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
65,Asean,https://www.vietnamplus.vn/thegioi/asean.vnp,https://www.vietnamplus.vn/thegioi/asean/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
66,CHÂU Á-TBD,https://www.vietnamplus.vn/thegioi/chaua-tbd.vnp,https://www.vietnamplus.vn/thegioi/chaua-tbd/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
